09:53:14,699 ERROR [cl.mdr.ifrs.modules.seguridad.filter.SeguridadFilter] (http--0.0.0.0-8081-6) Usuario No autorizado
09:53:18,878 INFO  [cl.mdr.ifrs.modules.seguridad.mb.LoginBackingBean] (http--0.0.0.0-8081-6) autentificando usuario
09:53:19,296 WARN  [org.hibernate.hql.internal.ast.QueryTranslatorImpl] (http--0.0.0.0-8081-6) HHH000104: firstResult/maxResults specified with collection fetch; applying in memory!
09:53:20,264 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_ROL rol0_ 
09:53:20,265 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:20,265 INFO  [stdout] (http--0.0.0.0-8081-6)         rol0_.ID_ROL=?
09:53:20,267 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:20,268 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:20,268 INFO  [stdout] (http--0.0.0.0-8081-6)         grupos0_.NOMBRE_USUARIO as NOMBRE2_10_3_,
09:53:20,269 INFO  [stdout] (http--0.0.0.0-8081-6)         grupos0_.ID_GRUPO_ACCESO as ID1_3_,
09:53:20,269 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo1_.ID_GRUPO_ACCESO as ID1_22_0_,
09:53:20,270 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo1_.ACCESO_BLOQUEADO as ACCESO2_22_0_,
09:53:20,271 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo1_.ID_AREA_NEGOCIO as ID5_22_0_,
09:53:20,271 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo1_.nombre as nombre22_0_,
09:53:20,272 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo1_.VIGENTE as VIGENTE22_0_,
09:53:20,273 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci2_.ID_AREA_NEGOCIO as ID1_17_1_,
09:53:20,273 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci2_.ID_RUT as ID4_17_1_,
09:53:20,274 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci2_.nombre as nombre17_1_,
09:53:20,274 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci2_.VIGENTE as VIGENTE17_1_,
09:53:20,275 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa3_.ID_RUT as ID1_12_2_,
09:53:20,275 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa3_.dv as dv12_2_,
09:53:20,276 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa3_.giro as giro12_2_,
09:53:20,277 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa3_.nombre as nombre12_2_,
09:53:20,277 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa3_.RAZON_SOCIAL as RAZON5_12_2_ 
09:53:20,278 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:20,278 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_USUARIO_GRUPO grupos0_,
09:53:20,279 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_GRUPO grupo1_,
09:53:20,279 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_AREA_NEGOCIO areanegoci2_,
09:53:20,280 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_EMPRESA empresa3_ 
09:53:20,280 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:20,280 INFO  [stdout] (http--0.0.0.0-8081-6)         grupos0_.ID_GRUPO_ACCESO=grupo1_.ID_GRUPO_ACCESO 
09:53:20,281 INFO  [stdout] (http--0.0.0.0-8081-6)         and grupo1_.ID_AREA_NEGOCIO=areanegoci2_.ID_AREA_NEGOCIO(+) 
09:53:20,282 INFO  [stdout] (http--0.0.0.0-8081-6)         and areanegoci2_.ID_RUT=empresa3_.ID_RUT(+) 
09:53:20,282 INFO  [stdout] (http--0.0.0.0-8081-6)         and grupos0_.NOMBRE_USUARIO=?
09:53:20,302 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:20,303 INFO  [stdout] (http--0.0.0.0-8081-6)     update
09:53:20,303 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_USUARIO 
09:53:20,304 INFO  [stdout] (http--0.0.0.0-8081-6)     set
09:53:20,304 INFO  [stdout] (http--0.0.0.0-8081-6)         APELLIDO_MATERNO=?,
09:53:20,304 INFO  [stdout] (http--0.0.0.0-8081-6)         APELLIDO_PATERNO=?,
09:53:20,305 INFO  [stdout] (http--0.0.0.0-8081-6)         CAMBIAR_PASSWORD=?,
09:53:20,306 INFO  [stdout] (http--0.0.0.0-8081-6)         email=?,
09:53:20,306 INFO  [stdout] (http--0.0.0.0-8081-6)         FECHA_ACTUALIZACION=?,
09:53:20,306 INFO  [stdout] (http--0.0.0.0-8081-6)         FECHA_CREACION=?,
09:53:20,307 INFO  [stdout] (http--0.0.0.0-8081-6)         FECHA_ULTIMO_ACCESO=?,
09:53:20,307 INFO  [stdout] (http--0.0.0.0-8081-6)         NOMBRE=?,
09:53:20,308 INFO  [stdout] (http--0.0.0.0-8081-6)         password=?,
09:53:20,308 INFO  [stdout] (http--0.0.0.0-8081-6)         ID_ROL=?,
09:53:20,309 INFO  [stdout] (http--0.0.0.0-8081-6)         vigente=? 
09:53:20,309 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:20,309 INFO  [stdout] (http--0.0.0.0-8081-6)         NOMBRE_USUARIO=?
09:53:20,337 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:20,337 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:20,338 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo1_.ID_GRUPO_ACCESO as ID1_22_,
09:53:20,338 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo1_.ACCESO_BLOQUEADO as ACCESO2_22_,
09:53:20,339 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo1_.ID_AREA_NEGOCIO as ID5_22_,
09:53:20,339 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo1_.nombre as nombre22_,
09:53:20,340 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo1_.VIGENTE as VIGENTE22_ 
09:53:20,340 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:20,341 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_USUARIO_GRUPO usuariogru0_,
09:53:20,341 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_GRUPO grupo1_ 
09:53:20,342 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:20,342 INFO  [stdout] (http--0.0.0.0-8081-6)         usuariogru0_.ID_GRUPO_ACCESO=grupo1_.ID_GRUPO_ACCESO 
09:53:20,343 INFO  [stdout] (http--0.0.0.0-8081-6)         and usuariogru0_.NOMBRE_USUARIO=?
09:53:20,345 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:20,346 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:20,346 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.ID_AREA_NEGOCIO as ID1_17_1_,
09:53:20,347 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.ID_RUT as ID4_17_1_,
09:53:20,347 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.nombre as nombre17_1_,
09:53:20,348 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.VIGENTE as VIGENTE17_1_,
09:53:20,348 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.ID_RUT as ID1_12_0_,
09:53:20,349 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.dv as dv12_0_,
09:53:20,350 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.giro as giro12_0_,
09:53:20,350 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.nombre as nombre12_0_,
09:53:20,351 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.RAZON_SOCIAL as RAZON5_12_0_ 
09:53:20,351 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:20,352 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_AREA_NEGOCIO areanegoci0_,
09:53:20,352 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_EMPRESA empresa1_ 
09:53:20,353 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:20,353 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.ID_RUT=empresa1_.ID_RUT(+) 
09:53:20,354 INFO  [stdout] (http--0.0.0.0-8081-6)         and areanegoci0_.ID_AREA_NEGOCIO=?
09:53:20,357 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:20,357 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:20,358 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.ID_RUT as col_0_0_,
09:53:20,358 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.dv as col_1_0_,
09:53:20,359 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.giro as col_2_0_,
09:53:20,359 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.nombre as col_3_0_,
09:53:20,360 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.RAZON_SOCIAL as col_4_0_ 
09:53:20,360 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:20,361 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_EMPRESA empresa0_ 
09:53:20,361 INFO  [stdout] (http--0.0.0.0-8081-6)     order by
09:53:20,362 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.RAZON_SOCIAL
09:53:22,488 WARN  [org.hibernate.hql.internal.ast.QueryTranslatorImpl] (http--0.0.0.0-8081-6) HHH000104: firstResult/maxResults specified with collection fetch; applying in memory!
09:53:22,489 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:22,490 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:22,490 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.ID_RUT as ID1_12_0_,
09:53:22,491 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.ID_GRUPO_ACCESO as ID1_22_1_,
09:53:22,491 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.dv as dv12_0_,
09:53:22,492 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.giro as giro12_0_,
09:53:22,493 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.nombre as nombre12_0_,
09:53:22,493 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.RAZON_SOCIAL as RAZON5_12_0_,
09:53:22,494 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.ACCESO_BLOQUEADO as ACCESO2_22_1_,
09:53:22,494 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.ID_AREA_NEGOCIO as ID5_22_1_,
09:53:22,495 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.nombre as nombre22_1_,
09:53:22,496 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.VIGENTE as VIGENTE22_1_,
09:53:22,496 INFO  [stdout] (http--0.0.0.0-8081-6)         grupos1_.ID_RUT as ID3_12_0__,
09:53:22,497 INFO  [stdout] (http--0.0.0.0-8081-6)         grupos1_.ID_GRUPO_ACCESO as ID1_0__ 
09:53:22,497 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:22,498 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_EMPRESA empresa0_,
09:53:22,498 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_GRUPO_EMPRESA grupos1_,
09:53:22,499 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_GRUPO grupo2_ 
09:53:22,499 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:22,500 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.ID_RUT=grupos1_.ID_RUT(+) 
09:53:22,500 INFO  [stdout] (http--0.0.0.0-8081-6)         and grupos1_.ID_GRUPO_ACCESO=grupo2_.ID_GRUPO_ACCESO(+) 
09:53:22,501 INFO  [stdout] (http--0.0.0.0-8081-6)         and empresa0_.ID_RUT=? 
09:53:22,501 INFO  [stdout] (http--0.0.0.0-8081-6)     order by
09:53:22,502 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa0_.RAZON_SOCIAL
09:53:22,747 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:22,747 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:22,748 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.ID_AREA_NEGOCIO as ID1_17_1_,
09:53:22,748 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.ID_RUT as ID4_17_1_,
09:53:22,749 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.nombre as nombre17_1_,
09:53:22,750 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.VIGENTE as VIGENTE17_1_,
09:53:22,751 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.ID_RUT as ID1_12_0_,
09:53:22,751 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.dv as dv12_0_,
09:53:22,752 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.giro as giro12_0_,
09:53:22,753 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.nombre as nombre12_0_,
09:53:22,753 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.RAZON_SOCIAL as RAZON5_12_0_ 
09:53:22,754 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:22,755 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_AREA_NEGOCIO areanegoci0_,
09:53:22,755 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_EMPRESA empresa1_ 
